,price,number_of_reviews,number_of_answered_questions_num,average_review_rating_out_of_5,average_rating_bin
114,49.95,1,1,5.0,Excellent
115,70.5,2,1,5.0,Excellent
116,33.99,1,1,4.0,Excellent
117,20.31,2,1,5.0,Excellent
118,1.95,2,1,4.5,Excellent
119,79.95,17,1,4.4,Excellent
120,19.95,1,1,4.0,Excellent
121,5.7,2,1,4.5,Excellent
122,9.65,1,1,5.0,Excellent
123,141.23,5,1,4.4,Excellent
124,83.04,1,1,5.0,Excellent
125,21.95,1,1,5.0,Excellent
126,16.5,5,1,5.0,Excellent
127,18.99,1,1,4.0,Excellent
128,11.04,2,0,5.0,Excellent
129,4.99,1,2,5.0,Excellent
130,22.5,1,2,5.0,Excellent
131,18.12,1,2,5.0,Excellent
132,169.99,1,2,4.0,Excellent
133,63.99,97,2,4.4,Excellent
134,104.71,2,2,4.5,Excellent
135,82.76,5,2,4.0,Excellent
136,22.95,1,2,5.0,Excellent
137,166.04,1,2,5.0,Excellent
138,37.09,1,2,5.0,Excellent
139,124.93,1,2,5.0,Excellent
140,12.0,1,2,5.0,Excellent
141,0.0,28,2,4.4,Excellent
142,41.87,1,2,5.0,Excellent
143,0.0,2,2,5.0,Excellent
144,28.98,1,2,5.0,Excellent
145,20.21,1,2,5.0,Excellent
146,11.08,1,2,5.0,Excellent
147,32.7,5,2,5.0,Excellent
148,51.53,1,2,5.0,Excellent
149,15.83,1,2,5.0,Excellent
150,107.99,2,2,5.0,Excellent
151,11.95,4,2,4.3,Excellent
152,100.0,1,2,4.0,Excellent
153,22.58,1,2,5.0,Excellent
154,6.99,4,2,5.0,Excellent
155,4.0,1,2,5.0,Excellent
156,119.5,1,2,5.0,Excellent
157,14.2,1,2,5.0,Excellent
158,5.99,1,2,5.0,Excellent
159,64.87,9,2,4.9,Excellent
160,0.0,12,2,4.9,Excellent
161,0.0,1,2,5.0,Excellent
162,29.99,1,2,5.0,Excellent
163,35.95,1,2,4.0,Excellent
164,108.99,67,6,4.2,Excellent
165,0.0,2,6,5.0,Excellent
166,16.25,1,6,4.0,Excellent
167,96.95,1,6,5.0,Excellent
168,0.0,1,6,5.0,Excellent
169,39.1,1,6,5.0,Excellent
170,14.95,2,6,5.0,Excellent
171,94.88,3,6,4.7,Excellent
172,0.0,8,6,4.3,Excellent
173,20.16,2,6,5.0,Excellent
174,17.99,1,6,5.0,Excellent
175,0.0,1,6,5.0,Excellent
176,4.86,1,6,5.0,Excellent
177,119.99,2,6,4.0,Excellent
178,12.31,1,6,5.0,Excellent
179,0.0,1,6,4.0,Excellent
180,0.0,1,6,5.0,Excellent
181,39.99,1,6,5.0,Excellent
182,8.5,2,6,5.0,Excellent
183,18.5,2,6,4.5,Excellent
184,27.0,1,6,5.0,Excellent
185,11.71,1,6,5.0,Excellent
186,0.0,1,6,5.0,Excellent
187,29.99,5,6,4.0,Excellent
188,538.73,1,6,5.0,Excellent
189,0.0,13,6,4.6,Excellent
190,41.67,1,6,5.0,Excellent
191,78.49,1,6,5.0,Excellent
192,19.95,1,6,4.0,Excellent
193,2.49,81,6,4.5,Excellent
194,3.03,10,6,4.8,Excellent
195,79.95,1,1,4.0,Excellent
196,0.0,3,1,5.0,Excellent
197,21.66,1,1,5.0,Excellent
198,0.0,2,1,5.0,Excellent
199,15.84,23,0,4.4,Excellent
200,7.29,1,0,5.0,Excellent
201,14.6,41,0,4.5,Excellent
202,59.9,1,0,5.0,Excellent
203,6.95,1,0,5.0,Excellent
204,59.99,1,0,5.0,Excellent
205,5.99,5,0,5.0,Excellent
206,3.5,2,0,4.5,Excellent
207,0.0,1,0,5.0,Excellent
208,2.0,11,0,4.5,Excellent
209,4.99,1,0,5.0,Excellent
210,17.99,16,0,4.0,Excellent
211,8.0,4,0,4.0,Excellent
212,7.94,36,0,4.6,Excellent
213,12.44,2,0,5.0,Excellent
214,5.5,1,0,5.0,Excellent
215,0.85,1,0,4.0,Excellent
216,0.0,1,0,5.0,Excellent
217,29.99,6,1,4.8,Excellent
218,0.0,3,1,5.0,Excellent
219,29.99,2,1,5.0,Excellent
220,23.97,1,1,5.0,Excellent
221,4.63,1,1,4.0,Excellent
222,8.87,45,1,4.7,Excellent
223,23.97,2,1,5.0,Excellent
224,22.89,0,1,0.0,Worst
225,0.0,42,1,4.8,Excellent
226,7.6,4,1,5.0,Excellent
227,11.94,1,1,4.0,Excellent
228,14.69,1,1,5.0,Excellent
229,8.99,1,1,5.0,Excellent
230,71.15,1,1,4.0,Excellent
231,0.0,1,1,5.0,Excellent
232,0.0,1,1,5.0,Excellent
233,5.99,32,1,4.8,Excellent
234,6.99,2,1,5.0,Excellent
235,0.0,2,1,5.0,Excellent
236,22.99,3,1,5.0,Excellent
237,19.99,1,1,5.0,Excellent
238,12.95,27,1,4.8,Excellent
239,7.99,2,1,4.5,Excellent
240,12.4,40,2,4.7,Excellent
241,0.0,2,2,5.0,Excellent
242,0.0,1,2,5.0,Excellent
243,6.99,4,2,4.3,Excellent
244,4.78,2,2,5.0,Excellent
245,0.0,11,2,5.0,Excellent
246,11.95,7,2,4.1,Excellent
247,8.0,1,2,5.0,Excellent
248,7.99,2,2,5.0,Excellent
249,7.0,1,2,5.0,Excellent
250,5.0,13,2,4.8,Excellent
251,0.0,31,2,4.6,Excellent
252,9.99,1,2,5.0,Excellent
253,6.82,1,2,5.0,Excellent
254,7.95,6,2,5.0,Excellent
255,6.99,1,2,5.0,Excellent
256,7.19,2,2,4.0,Excellent
257,27.0,13,2,4.4,Excellent
258,22.99,1,2,5.0,Excellent
259,9.45,2,2,4.5,Excellent
260,15.99,35,1,4.4,Excellent
261,8.8,2,1,4.5,Excellent
262,7.69,2,1,5.0,Excellent
263,10.95,29,1,4.7,Excellent
264,13.99,1,1,5.0,Excellent
265,14.99,5,1,4.4,Excellent
266,5.99,9,1,4.7,Excellent
267,9.99,1,1,5.0,Excellent
268,11.58,1,1,5.0,Excellent
269,0.0,1,1,4.0,Excellent
270,4.97,5,1,4.8,Excellent
271,0.0,7,1,4.9,Excellent
272,16.99,1,1,5.0,Excellent
273,11.99,1,1,5.0,Excellent
274,17.95,1,1,5.0,Excellent
275,17.71,1,1,5.0,Excellent
276,57.89,2,1,5.0,Excellent
277,9.85,3,1,5.0,Excellent
278,16.68,4,1,4.8,Excellent
279,16.99,120,2,4.8,Excellent
280,7.99,1,2,5.0,Excellent
281,79.68,3,1,5.0,Excellent
282,6.99,1,1,5.0,Excellent
283,0.0,1,1,5.0,Excellent
284,17.99,3,1,4.7,Excellent
285,9.95,2,1,4.5,Excellent
286,21.79,1,1,5.0,Excellent
287,19.99,3,1,5.0,Excellent
288,23.5,33,1,4.3,Excellent
289,25.99,4,1,5.0,Excellent
290,7.9,8,1,4.8,Excellent
291,14.99,1,1,5.0,Excellent
292,9.1,3,1,5.0,Excellent
293,16.95,1,1,5.0,Excellent
294,24.04,6,1,4.7,Excellent
295,14.95,1,1,5.0,Excellent
296,8.49,26,1,4.4,Excellent
297,14.99,2,1,5.0,Excellent
298,3.99,1,1,5.0,Excellent
299,10.95,2,1,4.5,Excellent
300,0.0,2,1,5.0,Excellent
301,35.71,6,1,5.0,Excellent
302,0.0,1,1,5.0,Excellent
303,10.85,2,1,4.5,Excellent
304,14.95,1,1,4.0,Excellent
305,47.99,38,5,4.9,Excellent
306,10.95,1,5,4.0,Excellent
307,8.99,8,5,4.3,Excellent
308,8.65,15,1,4.6,Excellent
309,19.99,1,1,5.0,Excellent
310,12.99,3,1,4.3,Excellent
311,37.01,2,1,4.5,Excellent
312,31.46,1,1,5.0,Excellent
313,0.0,1,1,5.0,Excellent
314,16.95,4,1,5.0,Excellent
315,8.44,24,1,4.8,Excellent
316,11.23,1,1,5.0,Excellent
317,10.62,1,1,4.0,Excellent
318,14.99,5,1,5.0,Excellent
319,0.0,5,1,5.0,Excellent
320,10.98,1,1,5.0,Excellent
321,32.88,1,1,5.0,Excellent
322,0.0,1,1,5.0,Excellent
323,6.25,17,1,4.9,Excellent
324,11.78,5,1,5.0,Excellent
325,14.06,2,1,5.0,Excellent
326,0.0,1,1,5.0,Excellent
327,9.99,1,1,5.0,Excellent
328,8.76,2,1,4.0,Excellent
329,80.6,1,1,5.0,Excellent
330,10.87,1,1,5.0,Excellent
331,29.59,11,1,4.8,Excellent
332,0.0,2,1,4.5,Excellent
333,58.15,1,1,5.0,Excellent
334,4.99,5,1,4.4,Excellent
335,0.0,1,1,5.0,Excellent
336,0.0,4,1,5.0,Excellent
337,44.99,4,1,5.0,Excellent
338,0.0,1,1,5.0,Excellent
339,0.0,1,1,5.0,Excellent
340,37.0,1,1,5.0,Excellent
341,18.23,6,1,4.7,Excellent
342,5.99,1,1,5.0,Excellent
343,14.99,1,1,5.0,Excellent
344,6.95,1,1,5.0,Excellent
345,9.99,7,1,4.1,Excellent
346,0.0,1,1,5.0,Excellent
347,15.05,1,1,5.0,Excellent
348,13.99,1,1,5.0,Excellent
349,29.95,4,1,5.0,Excellent
350,8.95,1,1,5.0,Excellent
351,9.75,3,1,5.0,Excellent
352,0.0,1,1,4.0,Excellent
353,6.0,1,1,5.0,Excellent
354,8.81,1,1,5.0,Excellent
355,12.99,2,1,4.5,Excellent
356,6.99,4,1,4.8,Excellent
357,6.99,6,1,4.5,Excellent
358,13.84,1,1,4.0,Excellent
359,3.99,2,1,4.0,Excellent
360,18.16,13,1,4.3,Excellent
361,0.0,2,1,4.5,Excellent
362,10.99,1,1,4.0,Excellent
363,8.99,1,1,5.0,Excellent
364,11.99,2,1,4.5,Excellent
365,0.0,9,1,4.8,Excellent
366,9.88,3,1,5.0,Excellent
367,7.97,85,1,4.8,Excellent
368,0.0,13,1,4.4,Excellent
369,160.0,1,1,5.0,Excellent
370,12.99,1,1,5.0,Excellent
371,0.0,3,1,4.7,Excellent
372,22.4,3,1,4.7,Excellent
373,21.99,1,1,5.0,Excellent
374,0.0,6,1,5.0,Excellent
375,0.0,1,1,5.0,Excellent
376,0.0,7,1,4.6,Excellent
377,0.0,1,1,5.0,Excellent
378,66.99,1,1,5.0,Excellent
379,9.98,2,1,5.0,Excellent
380,11.95,5,1,4.8,Excellent
381,119.95,1,1,5.0,Excellent
382,16.68,1,1,5.0,Excellent
383,8.99,1,1,5.0,Excellent
384,19.95,10,1,4.1,Excellent
385,0.0,2,1,5.0,Excellent
386,16.95,1,1,5.0,Excellent
387,1.31,6,1,4.7,Excellent
388,6.45,1,1,5.0,Excellent
389,13.99,1,1,5.0,Excellent
390,0.0,1,1,5.0,Excellent
391,20.0,19,1,4.8,Excellent
392,11.99,11,1,4.0,Excellent
393,8.05,8,1,4.1,Excellent
394,20.5,19,1,4.4,Excellent
395,7.95,1,1,5.0,Excellent
396,11.58,4,1,5.0,Excellent
397,56.85,1,1,5.0,Excellent
398,22.4,2,1,5.0,Excellent
399,7.38,8,0,4.4,Excellent
400,2.94,17,0,4.5,Excellent
401,8.56,5,0,5.0,Excellent
402,4.81,25,0,4.6,Excellent
403,3.99,11,0,4.7,Excellent
404,0.0,43,0,4.5,Excellent
405,16.59,1,0,5.0,Excellent
406,0.0,7,1,4.0,Excellent
407,4.31,1,1,5.0,Excellent
408,2.99,1,1,5.0,Excellent
409,9.0,1,1,4.0,Excellent
410,3.99,1,1,5.0,Excellent
411,11.93,1,1,5.0,Excellent
412,4.3,1,1,4.0,Excellent
413,9.99,2,1,5.0,Excellent
414,11.28,4,1,4.8,Excellent
415,3.02,138,1,4.7,Excellent
416,10.24,12,1,4.5,Excellent
417,3.37,8,1,4.1,Excellent
418,0.0,6,1,4.2,Excellent
419,3.99,3,1,5.0,Excellent
420,0.0,1,1,5.0,Excellent
421,12.2,2,1,5.0,Excellent
422,0.0,5,1,4.8,Excellent
423,3.99,1,1,5.0,Excellent
424,6.0,2,1,4.5,Excellent
425,1.97,82,2,4.9,Excellent
426,3.81,1,2,5.0,Excellent
427,3.3,7,2,4.9,Excellent
428,0.0,1,2,5.0,Excellent
429,2.03,4,2,5.0,Excellent
430,0.0,3,2,5.0,Excellent
431,5.99,11,2,4.4,Excellent
432,6.29,1,2,5.0,Excellent
433,12.99,1,2,4.0,Excellent
434,2.44,46,1,4.0,Excellent
435,8.78,0,1,0.0,Worst
436,9.99,1,1,5.0,Excellent
437,6.95,2,1,5.0,Excellent
438,5.99,1,1,5.0,Excellent
439,4.0,7,1,4.7,Excellent
440,2.97,16,1,4.8,Excellent
441,10.79,1,1,5.0,Excellent
442,5.99,1,1,5.0,Excellent
443,2.5,1,1,5.0,Excellent
444,7.98,1,1,5.0,Excellent
445,9.99,2,1,4.0,Excellent
446,7.68,1,1,5.0,Excellent
447,6.0,1,1,5.0,Excellent
448,3.92,6,1,4.7,Excellent
449,0.0,1,1,5.0,Excellent
450,3.49,2,1,4.5,Excellent
451,0.0,1,1,5.0,Excellent
452,10.32,17,1,4.6,Excellent
453,5.64,1,1,5.0,Excellent
454,5.99,2,1,4.5,Excellent
455,2.57,53,1,4.6,Excellent
456,2.03,2,1,5.0,Excellent
457,11.93,1,1,5.0,Excellent
458,2.04,45,1,4.8,Excellent
459,3.15,29,1,4.5,Excellent
460,3.99,14,1,5.0,Excellent
461,0.0,1,1,4.0,Excellent
462,0.0,1,1,5.0,Excellent
463,23.65,1,1,5.0,Excellent
464,10.03,1,1,5.0,Excellent
465,18.09,2,1,4.5,Excellent
466,3.99,1,1,5.0,Excellent
467,8.0,3,1,4.7,Excellent
468,1.49,6,1,4.7,Excellent
469,11.69,13,1,5.0,Excellent
470,2.44,1,1,5.0,Excellent
471,9.74,1,1,5.0,Excellent
472,0.0,3,1,5.0,Excellent
473,11.84,9,1,4.8,Excellent
474,3.35,19,1,4.3,Excellent
475,6.33,6,1,4.0,Excellent
476,7.95,27,1,4.7,Excellent
477,0.0,1,1,5.0,Excellent
478,10.95,1,1,5.0,Excellent
479,22.51,3,1,5.0,Excellent
480,4.49,1,1,5.0,Excellent
481,11.01,2,1,4.0,Excellent
482,4.0,3,1,5.0,Excellent
483,4.0,4,1,4.8,Excellent
484,7.0,6,1,4.8,Excellent
485,0.0,8,1,4.8,Excellent
486,2.21,2,1,5.0,Excellent
487,4.49,1,1,5.0,Excellent
488,4.84,1,1,4.0,Excellent
489,8.77,33,1,4.6,Excellent
490,1.73,72,1,4.6,Excellent
491,14.99,2,1,4.5,Excellent
492,1.68,2,1,5.0,Excellent
493,1.15,2,1,5.0,Excellent
494,2.49,3,1,5.0,Excellent
495,4.0,2,1,5.0,Excellent
496,39.75,6,1,5.0,Excellent
497,0.0,4,1,4.8,Excellent
498,4.0,1,1,5.0,Excellent
499,10.02,3,1,5.0,Excellent
500,8.63,1,1,5.0,Excellent
501,8.99,9,1,4.9,Excellent
502,2.02,2,1,5.0,Excellent
503,9.25,22,1,4.6,Excellent
504,11.28,7,1,4.4,Excellent
505,14.79,6,1,4.2,Excellent
506,7.95,3,1,4.3,Excellent
507,2.03,3,1,4.3,Excellent
508,7.17,3,1,4.3,Excellent
509,0.0,6,1,5.0,Excellent
510,4.0,3,1,4.7,Excellent
511,3.95,1,1,5.0,Excellent
512,21.59,6,1,4.8,Excellent
513,5.99,3,1,4.0,Excellent
514,2.99,1,1,4.0,Excellent
515,7.95,2,1,5.0,Excellent
516,3.99,7,1,4.6,Excellent
517,3.91,3,1,4.3,Excellent
518,12.58,1,1,5.0,Excellent
519,5.99,1,1,4.0,Excellent
520,0.0,1,1,4.0,Excellent
521,1.6,2,1,4.5,Excellent
522,16.99,1,1,5.0,Excellent
523,7.95,2,1,5.0,Excellent
524,4.95,7,1,4.4,Excellent
525,0.0,1,1,5.0,Excellent
526,0.0,106,1,4.6,Excellent
527,9.5,1,1,5.0,Excellent
528,7.99,1,1,4.0,Excellent
529,8.95,13,1,4.8,Excellent
530,3.95,6,1,4.8,Excellent
531,2.26,15,1,4.6,Excellent
532,0.0,3,1,4.3,Excellent
533,7.99,1,1,5.0,Excellent
534,0.0,5,1,4.2,Excellent
535,29.99,2,1,5.0,Excellent
536,1.75,1,1,5.0,Excellent
537,6.69,2,1,5.0,Excellent
538,0.0,3,1,5.0,Excellent
539,13.36,2,1,4.5,Excellent
540,7.6,36,1,4.5,Excellent
541,6.75,9,1,4.3,Excellent
542,5.99,8,1,4.3,Excellent
543,4.99,81,1,4.7,Excellent
544,8.0,2,1,5.0,Excellent
545,6.19,9,1,4.6,Excellent
546,15.95,1,1,5.0,Excellent
547,7.79,3,1,4.7,Excellent
548,3.99,1,1,5.0,Excellent
549,21.5,2,1,5.0,Excellent
550,1.9,2,1,5.0,Excellent
551,2.79,24,1,4.1,Excellent
552,2.49,2,1,5.0,Excellent
553,7.95,3,1,4.7,Excellent
554,12.41,0,1,0.0,Worst
555,3.95,8,1,4.4,Excellent
556,8.25,23,1,4.5,Excellent
557,11.95,1,1,5.0,Excellent
558,7.99,2,1,5.0,Excellent
559,2.03,8,1,4.6,Excellent
560,5.29,24,1,4.7,Excellent
561,0.0,1,1,5.0,Excellent
562,11.93,12,1,4.3,Excellent
563,0.0,3,1,4.3,Excellent
564,7.89,8,1,5.0,Excellent
565,11.4,1,1,5.0,Excellent
566,0.0,2,1,4.5,Excellent
567,11.59,3,1,4.7,Excellent
568,2.99,1,1,5.0,Excellent
569,10.98,13,1,4.6,Excellent
570,2.44,1,1,5.0,Excellent
571,12.32,2,1,4.5,Excellent
572,2.99,1,1,5.0,Excellent
573,11.4,1,1,4.0,Excellent
574,9.5,1,1,5.0,Excellent
575,3.96,1,1,4.0,Excellent
576,7.75,76,1,4.8,Excellent
577,9.99,420,1,4.8,Excellent
578,7.85,1,1,5.0,Excellent
579,7.85,2,1,5.0,Excellent
580,7.95,6,1,4.3,Excellent
581,9.64,11,2,4.6,Excellent
582,0.9,160,2,4.8,Excellent
583,3.99,39,1,4.3,Excellent
584,3.04,16,1,4.9,Excellent
585,10.79,2,1,5.0,Excellent
586,6.56,4,1,5.0,Excellent
587,2.49,1,1,4.0,Excellent
588,24.63,1,1,5.0,Excellent
589,5.15,1,1,5.0,Excellent
590,5.99,2,1,4.0,Excellent
591,3.5,6,1,5.0,Excellent
592,4.99,8,1,4.6,Excellent
593,4.79,6,1,4.3,Excellent
594,11.01,1,1,5.0,Excellent
595,10.99,16,1,4.6,Excellent
596,2.72,1,1,4.0,Excellent
597,10.95,24,0,4.3,Excellent
598,0.0,4,0,5.0,Excellent
599,7.99,4,0,4.5,Excellent
600,5.21,8,0,5.0,Excellent
601,6.99,30,2,4.8,Excellent
602,15.99,2,2,4.5,Excellent
603,14.89,81,2,4.5,Excellent
604,15.39,199,6,4.6,Excellent
605,5.99,2,6,5.0,Excellent
606,10.26,36,6,4.9,Excellent
607,61.38,1,6,5.0,Excellent
608,3.23,2,6,5.0,Excellent
609,0.0,8,6,5.0,Excellent
610,24.97,0,6,0.0,Worst
611,4.5,5,6,4.8,Excellent
612,0.0,1,6,5.0,Excellent
613,0.0,2,6,4.0,Excellent
614,43.87,40,6,4.7,Excellent
615,14.1,2,6,5.0,Excellent
616,12.5,11,6,4.3,Excellent
617,16.8,129,1,4.9,Excellent
618,15.28,1,1,5.0,Excellent
619,14.49,9,1,4.9,Excellent
620,8.19,1,1,5.0,Excellent
621,17.99,56,1,4.8,Excellent
622,18.73,33,1,4.5,Excellent
623,4.18,1,1,5.0,Excellent
624,7.99,1,1,5.0,Excellent
625,29.98,291,0,4.6,Excellent
626,24.95,87,1,4.5,Excellent
627,68.87,30,1,4.8,Excellent
628,6.39,2,1,4.0,Excellent
629,7.99,4,1,4.5,Excellent
630,12.99,86,4,4.9,Excellent
631,83.93,1,4,5.0,Excellent
632,31.0,8,4,4.6,Excellent
633,5.27,12,4,4.8,Excellent
634,24.99,45,4,4.8,Excellent
635,6.99,2,4,5.0,Excellent
636,9.99,1,4,5.0,Excellent
637,19.59,1,4,5.0,Excellent
638,5.13,2,4,4.5,Excellent
639,9.71,5,4,5.0,Excellent
640,18.74,1,4,5.0,Excellent
641,40.87,1,4,5.0,Excellent
642,4.95,5,4,4.4,Excellent
643,0.0,17,4,4.8,Excellent
644,47.45,20,4,4.5,Excellent
645,5.52,4,4,5.0,Excellent
646,84.6,2,4,5.0,Excellent
647,13.97,3,1,5.0,Excellent
648,3.7,2,1,5.0,Excellent
649,0.0,2,1,4.5,Excellent
650,0.0,1,1,5.0,Excellent
651,39.99,34,2,4.8,Excellent
652,42.51,142,2,4.6,Excellent
653,43.95,11,2,4.4,Excellent
654,15.5,2,2,5.0,Excellent
655,7.99,5,2,4.2,Excellent
656,9.71,14,2,4.9,Excellent
657,0.0,1,2,5.0,Excellent
658,3.4,27,2,4.7,Excellent
659,1.75,4,2,5.0,Excellent
660,4.99,1,2,4.0,Excellent
661,12.99,1,2,5.0,Excellent
662,3.4,2,2,5.0,Excellent
663,0.0,1,2,5.0,Excellent
664,0.0,92,1,4.7,Excellent
665,6.99,34,1,4.9,Excellent
666,1.99,22,1,4.1,Excellent
667,61.14,3,1,4.7,Excellent
668,5.99,55,1,4.6,Excellent
669,12.99,1,1,5.0,Excellent
670,13.21,4,1,4.5,Excellent
671,6.99,28,1,4.9,Excellent
672,3.7,4,1,4.3,Excellent
673,3.49,3,1,5.0,Excellent
674,4.99,1,1,4.0,Excellent
675,7.25,6,1,4.0,Excellent
676,0.0,16,1,4.3,Excellent
677,13.99,3,1,4.0,Excellent
678,16.92,36,1,4.1,Excellent
679,12.99,3,1,5.0,Excellent
680,20.49,19,1,4.1,Excellent
681,69.99,2,1,5.0,Excellent
682,13.32,1,1,5.0,Excellent
683,14.36,1,1,5.0,Excellent
684,2.99,1,1,5.0,Excellent
685,11.1,1,1,4.0,Excellent
686,19.67,26,1,4.3,Excellent
687,13.99,6,1,4.0,Excellent
688,4.99,3,1,4.3,Excellent
689,15.2,1,1,5.0,Excellent
690,0.0,3,1,5.0,Excellent
691,19.99,3,1,5.0,Excellent
692,0.0,2,1,4.0,Excellent
693,6.99,34,1,4.7,Excellent
694,8.99,40,2,4.8,Excellent
695,19.99,3,2,4.7,Excellent
696,2.35,1,2,5.0,Excellent
697,12.49,64,2,4.7,Excellent
698,3.85,6,2,4.5,Excellent
699,6.99,2,2,4.0,Excellent
700,5.69,24,1,4.8,Excellent
701,0.0,2,1,4.5,Excellent
702,5.99,1,1,5.0,Excellent
703,6.5,1,1,5.0,Excellent
704,0.0,1,1,5.0,Excellent
705,6.99,77,2,4.7,Excellent
706,12.01,11,2,5.0,Excellent
707,16.09,1,2,4.0,Excellent
708,24.99,16,1,4.0,Excellent
709,18.98,243,3,4.3,Excellent
710,7.99,1,3,5.0,Excellent
711,5.99,3,3,4.3,Excellent
712,0.0,1,3,5.0,Excellent
713,30.18,2,3,4.5,Excellent
714,17.99,2,1,4.5,Excellent
715,12.42,13,1,4.2,Excellent
716,17.94,76,4,4.7,Excellent
717,10.99,13,1,4.8,Excellent
718,12.63,3,1,5.0,Excellent
719,22.95,4,1,4.5,Excellent
720,49.9,67,1,4.6,Excellent
721,0.0,12,1,4.6,Excellent
722,14.98,4,1,4.8,Excellent
723,10.0,3,1,5.0,Excellent
724,3.99,1,1,5.0,Excellent
725,0.0,1,1,5.0,Excellent
726,0.0,1,1,5.0,Excellent
727,0.86,3,1,4.0,Excellent
728,12.99,20,1,4.7,Excellent
729,18.45,16,1,3.9,Excellent
730,15.39,199,6,4.6,Excellent
731,29.0,1,6,4.0,Excellent
